phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.84,0.0,4.02601,0.2783769
23.16,3.3378,3.4156601,0.22381328
37.96,2.7154,2.6275,0.15450148
52.73,1.5653,1.9304538,0.09552085
67.28,1.1438,1.4107738,0.05563738
82.17,0.8924,1.0338333,0.034661084
97.2,0.8012,0.7723013,0.031311747
112.25,0.7615,0.5945967,0.035460133
127.3,0.4652,0.47552118,0.0398784
142.35,0.4891,0.3980818,0.042996842
157.41,0.3936,0.3515376,0.04485854
172.47,0.3645,0.32970017,0.04571206
187.53,0.0,0.32970017,0.04571207
202.59,0.4806,0.3515376,0.04485854
217.65,0.506,0.39808178,0.042996854
232.7,0.5188,0.47552085,0.0398784
247.75,0.5895,0.5945964,0.03546012
262.8,0.821,0.7723013,0.031311747
277.83,0.9854,1.033833,0.034661066
292.72,1.2637,1.4107735,0.055637345
307.27,1.7853,1.9304538,0.09552081
322.04,2.6943,2.6275,0.15450145
336.84,3.6628,3.4156601,0.2238132
352.16,0.0,4.02601,0.2783769
