phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0,3.0266824,0.334345
27.62,0.0,0.9905202,0.08236177
37.97,0.6097,0.5999667,0.037057947
51.74,0.3476,0.3502776,0.012644108
66.87,0.2082,0.22124575,0.007945257
81.97,0.1666,0.15518111,0.008884633
97.06,0.1208,0.11800527,0.009121289
112.15,0.093,0.095733784,0.008913568
127.23,0.0673,0.08193145,0.008674006
142.31,0.0576,0.0733638,0.008537902
157.38,0.0816,0.06835402,0.008493296
172.46,0.0767,0.066031836,0.00848873
187.54,0.0,0.066031836,0.00848873
202.62,0.0632,0.06835402,0.008493296
217.69,0.0894,0.07336381,0.008537902
232.77,0.0623,0.08193145,0.008674006
247.85,0.078,0.095733784,0.008913568
262.94,0.1055,0.11800521,0.009121289
278.03,0.1572,0.15518111,0.008884633
293.13,0.2614,0.22124577,0.007945258
308.26,0.361,0.35027775,0.012644117
322.03,0.5869,0.5999667,0.037057947
332.38,0.0,0.9905202,0.08236177
352.5,0.0,3.0266824,0.3343449
