phi_x,Real F,Mean F Prediction,Std Dev Prediction
8.28,0.0,4.362073,0.45773637
24.86,0.0,3.1941092,0.31142345
38.98,2.3386,2.1928475,0.18785797
52.95,1.4945,1.493174,0.10414069
67.13,0.994,1.0342256,0.05263449
82.11,0.696,0.7293195,0.024095042
97.16,0.4648,0.5371529,0.017236296
112.22,0.438,0.41486096,0.021046028
127.28,0.3178,0.33666,0.024760554
142.34,0.2737,0.28747502,0.026968464
157.4,0.2863,0.2585904,0.028092993
172.47,0.2677,0.24520567,0.028550513
187.53,0.2752,0.24520567,0.028550519
202.6,0.246,0.25859037,0.028092999
217.66,0.3135,0.287475,0.026968468
232.72,0.4341,0.33666,0.024760554
247.78,0.4061,0.41486096,0.021046035
262.84,0.494,0.53715265,0.017236296
277.89,0.6686,0.7293195,0.024095053
292.87,0.998,1.0342247,0.052634414
307.05,1.6037,1.4931738,0.10414059
321.02,1.948,2.1928475,0.18785788
335.14,0.0,3.1941092,0.31142345
351.72,0.0,4.362073,0.45773637
