phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0,6.5582213,0.9055121
29.04,0.0,0.7411669,0.06923038
38.02,0.397,0.41896033,0.026667064
51.66,0.2142,0.21246302,0.005758232
66.82,0.1572,0.121135496,0.006677622
81.94,0.083,0.0814831,0.0066438653
97.04,0.0554,0.062627085,0.00553105
112.13,0.0449,0.053135782,0.0049131364
127.22,0.0468,0.048185047,0.005179736
142.3,0.0,0.045571014,0.0058581596
157.38,0.0,0.04423312,0.0064781387
172.45,0.0,0.043666843,0.0068241
187.55,0.0,0.043666843,0.0068241
202.62,0.0,0.04423312,0.0064781387
217.7,0.0232,0.045571003,0.005858157
232.78,0.0566,0.048185047,0.005179736
247.87,0.0407,0.05313577,0.004913137
262.96,0.0501,0.06262706,0.0055310465
278.06,0.0883,0.0814831,0.0066438653
293.18,0.1116,0.121135466,0.006677637
308.34,0.2386,0.21246275,0.005758219
321.98,0.4454,0.41896033,0.026667064
330.96,0.0,0.74116564,0.069230184
352.5,0.0,6.558143,0.9055013
