set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
116,5.75,2.12,0.245,-0.2,8.89,0.0,0.0,1.7467759,0.0111777885,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076,-0.840878810249244,-0.9806246946961475,-1.3728289254490942,0.008400019601691951
117,5.75,2.12,0.245,-0.26,14.3,0.0,0.0,1.6372029,0.016620032,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463,-1.939619399365841,-2.268022269205944,-2.568494551248226,0.004390501081319326
118,5.75,2.12,0.245,-0.34,7.5,0.0,0.0,2.6423702,0.047829814,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097,-2.5309519709017754,-1.4766294874308665,-2.6940382868008785,0.00030516757649961694
119,5.75,2.12,0.245,-0.45,7.5,0.0,0.0,4.8806777,0.14412023,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947,-2.384559057032322,-4.535854303145565,-0.9938944636099731,-0.001367458055004499
120,5.75,1.94,0.274,-0.11,7.46,0.4022,0.07766,0.37339905,0.044594873,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762,-2.8674356422724188,0.12395108862585014,-3.362430919523643,-0.0028903030894761495
121,5.75,1.94,0.274,-0.15,7.43,0.4069,0.0457,0.48972332,0.005712702,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137,-0.6159514757560296,-0.6737198507677682,-0.7315330852058963,0.005293106636626778
122,5.75,1.94,0.274,-0.2,7.39,0.4953,0.04815,0.49452198,0.0055659283,-0.5637408,0.1470413,-0.5651038,0.14982755,-0.7118771,0.1789432,0.004145362,0.00047428042,-0.3778462040874747,-0.41117389726548803,-0.7756662476837335,0.00454616251585727
123,5.75,1.94,0.274,-0.26,7.47,0.45,0.05372,0.47238305,0.00730143,-1.105361,0.19122203,-1.0156958,0.13646205,-1.2598217,0.20915145,0.0033597348,0.00053428207,-1.1993502084493315,-0.8539000161310892,-1.2119116064941826,0.0031255678570693435
124,5.75,1.94,0.275,-0.34,7.9,0.5178,0.06862,0.43318826,0.017494813,-1.9948236,0.41929734,-1.6543543,0.3140605,-2.2906165,0.49284938,0.0018834807,0.0009192895,-2.139209331982218,-1.186083809891031,-2.427868938747564,0.002322984452086082
125,5.75,1.94,0.275,-0.45,9.6,0.0,0.0,0.44062805,0.13305189,-2.6050127,2.799401,-2.347015,2.5471478,-2.9657474,3.3432884,0.0011626831,0.0029504215,0.4230454328570854,-4.15667275435012,-0.5692201287114016,-0.001517198230875119
126,5.75,2.35,0.274,-0.11,7.49,0.6703,0.07934,0.617026,0.0042131566,-1.1816741,0.16895843,-1.0501401,0.16142704,-1.5880488,0.19467367,0.0017948729,0.00040907876,-1.0535941470991914,-1.1816779942363351,-1.4141434169807967,0.002210266804810797
127,5.75,2.35,0.275,-0.15,7.54,0.7414,0.1017,0.73125976,0.004548441,-1.34073,0.1450036,-1.1251471,0.12294109,-1.4971803,0.1480422,0.0009081061,0.00038871923,-1.2574052159719653,-1.177499622700208,-1.8566992420521236,0.0010850590706021734
128,5.75,2.35,0.275,-0.2,7.61,1.0196,0.12983,0.80152833,0.006472727,-1.3369625,0.17245963,-1.1704376,0.13924335,-1.489621,0.18344977,0.0011569513,0.0004073128,-1.226875441359335,-0.9588154211467179,-1.3512569915978232,0.0005778763215971804
129,5.75,2.35,0.275,-0.26,8.25,0.0,0.0,0.8878796,0.014273255,-0.8760387,0.32179248,-0.8282219,0.2793305,-0.97471046,0.36245176,0.0011339979,0.00045566325,-0.8442359940615158,-0.7869253554787266,-0.9109585524651597,0.0005838054181704714
130,5.75,2.35,0.275,-0.34,10.63,0.0,0.0,0.9462231,0.038738664,-1.4252356,0.7865887,-1.2495337,0.583883,-1.559709,0.81195176,0.000795601,0.0006929458,-1.6634269090350366,-1.1452991254761036,-1.729632801154574,0.0020854531037329633
