set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
2,5.75,1.933,0.368,-0.232,127.5,0.034,0.00216,0.03521876,0.0013785852,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,142.5,0.0339,0.00204,0.033274516,0.0014090039,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,157.5,0.0346,0.00204,0.03203559,0.0014275772,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,172.5,0.0307,0.00192,0.031433202,0.0014362149,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,187.5,0.0315,0.00192,0.031433202,0.0014362149,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,202.5,0.0357,0.00204,0.03203559,0.0014275772,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,217.5,0.0333,0.00204,0.033274516,0.001409004,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,232.5,0.0337,0.00216,0.035218753,0.0013785852,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,247.5,0.0377,0.0024,0.037970092,0.0013360186,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,262.5,0.0404,0.00252,0.041653972,0.001288454,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,277.5,0.0429,0.00276,0.0463894,0.0012626904,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,292.5,0.0528,0.00312,0.05221595,0.0013177485,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,307.5,0.0593,0.00336,0.058950827,0.0015214945,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,322.5,0.062,0.00384,0.06598063,0.0018725999,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,337.5,0.0733,0.00456,0.07211115,0.0022614596,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
2,5.75,1.933,0.368,-0.232,352.5,0.0768,0.00504,0.075772785,0.0025201663,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294
