set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
116,5.75,2.12,0.245,-0.2,8.89,0.0,0.0,1.7467759,0.0111777885,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076,-0.7812486527910736,-0.9010245359948053,-1.127607726161105,0.00681531821868671
117,5.75,2.12,0.245,-0.26,14.3,0.0,0.0,1.6372029,0.016620032,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463,-2.3875039211828333,-1.963440272956489,-2.7857517723949337,0.005740681812460049
118,5.75,2.12,0.245,-0.34,7.5,0.0,0.0,2.6423702,0.047829814,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097,-0.875328860692969,-0.927861357342506,-5.102051932716838,-0.0007906182671238117
119,5.75,2.12,0.245,-0.45,7.5,0.0,0.0,4.8806777,0.14412023,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947,-4.2288407257715726,-2.2432944678051734,-2.789837714452662,-0.0023852688395791964
120,5.75,1.94,0.274,-0.11,7.46,0.4022,0.07766,0.37339905,0.044594873,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762,-1.8434102818858176,-0.024340720558624795,-12.381417840938491,-0.005046814847300072
121,5.75,1.94,0.274,-0.15,7.43,0.4069,0.0457,0.48972332,0.005712702,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137,-0.4886818252045578,-0.46231536664197254,-0.4313664892688057,0.004573528173633375
122,5.75,1.94,0.274,-0.2,7.39,0.4953,0.04815,0.49452198,0.0055659283,-0.5637408,0.1470413,-0.5651038,0.14982755,-0.7118771,0.1789432,0.004145362,0.00047428042,-0.6293989505537915,-0.5540736063899524,-0.8779540772732503,0.0034292126887609385
123,5.75,1.94,0.274,-0.26,7.47,0.45,0.05372,0.47238305,0.00730143,-1.105361,0.19122203,-1.0156958,0.13646205,-1.2598217,0.20915145,0.0033597348,0.00053428207,-1.147160807057836,-1.1715140711680112,-1.4388494042270261,0.002551056360845615
124,5.75,1.94,0.275,-0.34,7.9,0.5178,0.06862,0.43318826,0.017494813,-1.9948236,0.41929734,-1.6543543,0.3140605,-2.2906165,0.49284938,0.0018834807,0.0009192895,-2.222894356206792,-2.0221955348335925,-2.4146635514994323,0.0013502857055664335
125,5.75,1.94,0.275,-0.45,9.6,0.0,0.0,0.44062805,0.13305189,-2.6050127,2.799401,-2.347015,2.5471478,-2.9657474,3.3432884,0.0011626831,0.0029504215,-2.2164650946908884,-3.869958172044776,2.049323370029908,-0.0006598957721961585
126,5.75,2.35,0.274,-0.11,7.49,0.6703,0.07934,0.617026,0.0042131566,-1.1816741,0.16895843,-1.0501401,0.16142704,-1.5880488,0.19467367,0.0017948729,0.00040907876,-1.152321725997101,-0.9712184285577757,-1.5396203732137546,0.0016629591451862806
127,5.75,2.35,0.275,-0.15,7.54,0.7414,0.1017,0.73125976,0.004548441,-1.34073,0.1450036,-1.1251471,0.12294109,-1.4971803,0.1480422,0.0009081061,0.00038871923,-1.2513901166339727,-1.285729297408327,-1.4421120188980217,0.0015365742760351537
128,5.75,2.35,0.275,-0.2,7.61,1.0196,0.12983,0.80152833,0.006472727,-1.3369625,0.17245963,-1.1704376,0.13924335,-1.489621,0.18344977,0.0011569513,0.0004073128,-1.2843602904513027,-1.3144275306070354,-1.491997650727289,0.0011236521813195355
129,5.75,2.35,0.275,-0.26,8.25,0.0,0.0,0.8878796,0.014273255,-0.8760387,0.32179248,-0.8282219,0.2793305,-0.97471046,0.36245176,0.0011339979,0.00045566325,-0.7146846993058502,-1.1541431112475573,-0.8997431269186853,0.0011571047978713737
130,5.75,2.35,0.275,-0.34,10.63,0.0,0.0,0.9462231,0.038738664,-1.4252356,0.7865887,-1.2495337,0.583883,-1.559709,0.81195176,0.000795601,0.0006929458,-0.9718360341490104,-1.3903333854040605,-3.0086402660529084,0.0013768386176181801
