set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
116,5.75,2.12,0.245,-0.2,8.89,0.0,0.0,1.7467759,0.0111777885,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076,-0.9244484534857118,-0.9593834585182229,-1.7461928380800236,0.007718811474905167
117,5.75,2.12,0.245,-0.26,14.3,0.0,0.0,1.6372029,0.016620032,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463,-1.6012765357350176,-1.7295686193368969,-2.7136745303086007,0.010522926786726462
118,5.75,2.12,0.245,-0.34,7.5,0.0,0.0,2.6423702,0.047829814,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097,-2.543051463561855,-0.3157395071764571,-5.048175400753271,-0.00016229071247437254
119,5.75,2.12,0.245,-0.45,7.5,0.0,0.0,4.8806777,0.14412023,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947,-2.5112184175075045,-3.6788722578377397,-7.678868979376018,0.003908487526497098
120,5.75,1.94,0.274,-0.11,7.46,0.4022,0.07766,0.37339905,0.044594873,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762,-1.4685273161177466,2.8314598774678283,1.9585572785574954,-0.0012199935122824235
121,5.75,1.94,0.274,-0.15,7.43,0.4069,0.0457,0.48972332,0.005712702,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137,-0.33850508602857976,-0.7401217099108417,-0.5182610211137575,0.004247002049891935
122,5.75,1.94,0.274,-0.2,7.39,0.4953,0.04815,0.49452198,0.0055659283,-0.5637408,0.1470413,-0.5651038,0.14982755,-0.7118771,0.1789432,0.004145362,0.00047428042,-0.7260402685230856,-0.5562897241932815,-0.721003424890137,0.004910794744671362
123,5.75,1.94,0.274,-0.26,7.47,0.45,0.05372,0.47238305,0.00730143,-1.105361,0.19122203,-1.0156958,0.13646205,-1.2598217,0.20915145,0.0033597348,0.00053428207,-1.267018012299448,-0.8412496546150312,-1.362430394520391,0.0034211067929033026
124,5.75,1.94,0.275,-0.34,7.9,0.5178,0.06862,0.43318826,0.017494813,-1.9948236,0.41929734,-1.6543543,0.3140605,-2.2906165,0.49284938,0.0018834807,0.0009192895,-2.8913450857597818,-1.3620308615317318,-1.1543556804317834,0.000743578584193102
125,5.75,1.94,0.275,-0.45,9.6,0.0,0.0,0.44062805,0.13305189,-2.6050127,2.799401,-2.347015,2.5471478,-2.9657474,3.3432884,0.0011626831,0.0029504215,-2.3412694955200193,-5.238738819347703,-6.4902436214204124,0.0035728357869559612
126,5.75,2.35,0.274,-0.11,7.49,0.6703,0.07934,0.617026,0.0042131566,-1.1816741,0.16895843,-1.0501401,0.16142704,-1.5880488,0.19467367,0.0017948729,0.00040907876,-1.154205012199572,-1.0178998152083178,-1.215034037366427,0.001444808919037394
127,5.75,2.35,0.275,-0.15,7.54,0.7414,0.1017,0.73125976,0.004548441,-1.34073,0.1450036,-1.1251471,0.12294109,-1.4971803,0.1480422,0.0009081061,0.00038871923,-1.3931244485362373,-1.3552949207723104,-1.5834628443244458,0.0006871461973456949
128,5.75,2.35,0.275,-0.2,7.61,1.0196,0.12983,0.80152833,0.006472727,-1.3369625,0.17245963,-1.1704376,0.13924335,-1.489621,0.18344977,0.0011569513,0.0004073128,-1.3524931401607727,-1.4213642225353254,-1.5590385132957083,0.0008271924392583003
129,5.75,2.35,0.275,-0.26,8.25,0.0,0.0,0.8878796,0.014273255,-0.8760387,0.32179248,-0.8282219,0.2793305,-0.97471046,0.36245176,0.0011339979,0.00045566325,-0.5464149979251742,-0.7742711997199575,-0.5796168612349368,0.00048117783180659697
130,5.75,2.35,0.275,-0.34,10.63,0.0,0.0,0.9462231,0.038738664,-1.4252356,0.7865887,-1.2495337,0.583883,-1.559709,0.81195176,0.000795601,0.0006929458,-2.29102659733689,-1.4909183495468696,-2.609569319408725,0.0007145331033937723
