set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
116,5.75,2.12,0.245,-0.2,8.89,0.0,0.0,1.7467759,0.0111777885,-1.011643,0.16808142,-1.1037085,0.16714196,-1.3786002,0.22533104,0.00910968,0.0013924076,-0.9211978222890013,-1.335806803626585,-1.553104219191798,0.010598715518094208
117,5.75,2.12,0.245,-0.26,14.3,0.0,0.0,1.6372029,0.016620032,-2.130756,0.23824845,-2.1495318,0.2725232,-2.831509,0.38832575,0.0062516066,0.0020134463,-2.293242641587096,-1.6980055534714582,-2.531114626673384,0.008154959481461744
118,5.75,2.12,0.245,-0.34,7.5,0.0,0.0,2.6423702,0.047829814,-2.7102993,0.7226662,-0.70213056,1.2413592,-5.1752768,2.3683245,0.00017370329,0.0032501097,-2.4406036281788106,0.4897433213716079,-1.8277427226654042,0.006311289521232629
119,5.75,2.12,0.245,-0.45,7.5,0.0,0.0,4.8806777,0.14412023,-3.0499194,0.9247092,-1.4085042,1.54417,-3.8659463,3.4856865,0.0023799462,0.0047153947,-4.232594814532457,-0.7347460008697537,-3.5693564277027523,0.00569162492780579
120,5.75,1.94,0.274,-0.11,7.46,0.4022,0.07766,0.37339905,0.044594873,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762,-2.4324425828282754,-5.280630313984405,5.8765326396593345,0.002154124667471612
121,5.75,1.94,0.274,-0.15,7.43,0.4069,0.0457,0.48972332,0.005712702,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137,-0.8741634608390272,-0.4979342159329747,-0.6128160016053847,0.005095386284574379
122,5.75,1.94,0.274,-0.2,7.39,0.4953,0.04815,0.49452198,0.0055659283,-0.5637408,0.1470413,-0.5651038,0.14982755,-0.7118771,0.1789432,0.004145362,0.00047428042,-0.6084365012987407,-0.5752744572405869,-0.8215742026247908,0.00432199847932776
123,5.75,1.94,0.274,-0.26,7.47,0.45,0.05372,0.47238305,0.00730143,-1.105361,0.19122203,-1.0156958,0.13646205,-1.2598217,0.20915145,0.0033597348,0.00053428207,-1.336639173771698,-1.4247835510921747,-1.3194314397613844,0.0037067608938703145
124,5.75,1.94,0.275,-0.34,7.9,0.5178,0.06862,0.43318826,0.017494813,-1.9948236,0.41929734,-1.6543543,0.3140605,-2.2906165,0.49284938,0.0018834807,0.0009192895,-2.832414885105492,-1.998030426290256,-1.8017285682560094,0.0026694936800395466
125,5.75,1.94,0.275,-0.45,9.6,0.0,0.0,0.44062805,0.13305189,-2.6050127,2.799401,-2.347015,2.5471478,-2.9657474,3.3432884,0.0011626831,0.0029504215,-1.8618343516080458,-2.719800560882139,0.25063615115358306,0.0019070416780296385
126,5.75,2.35,0.274,-0.11,7.49,0.6703,0.07934,0.617026,0.0042131566,-1.1816741,0.16895843,-1.0501401,0.16142704,-1.5880488,0.19467367,0.0017948729,0.00040907876,-0.9177854802173308,-0.9681390639624061,-1.8137850254775896,0.0015517527024645887
127,5.75,2.35,0.275,-0.15,7.54,0.7414,0.1017,0.73125976,0.004548441,-1.34073,0.1450036,-1.1251471,0.12294109,-1.4971803,0.1480422,0.0009081061,0.00038871923,-1.037771436773309,-1.0509373319691415,-1.1518901746370411,0.0005808681001476524
128,5.75,2.35,0.275,-0.2,7.61,1.0196,0.12983,0.80152833,0.006472727,-1.3369625,0.17245963,-1.1704376,0.13924335,-1.489621,0.18344977,0.0011569513,0.0004073128,-1.0612273567177617,-1.5036659230741485,-1.6224131753962165,0.0015393290571642064
129,5.75,2.35,0.275,-0.26,8.25,0.0,0.0,0.8878796,0.014273255,-0.8760387,0.32179248,-0.8282219,0.2793305,-0.97471046,0.36245176,0.0011339979,0.00045566325,-0.9117148846543459,-0.9709527909182517,-0.9298383740242561,0.0012889475920982757
130,5.75,2.35,0.275,-0.34,10.63,0.0,0.0,0.9462231,0.038738664,-1.4252356,0.7865887,-1.2495337,0.583883,-1.559709,0.81195176,0.000795601,0.0006929458,-0.93011544783393,-1.8467354505688767,-1.9079011245756194,0.00021179148475162113
