set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std,ReH_pseudo_mean,ReE_pseudo_mean,ReHt_pseudo_mean,dvcs_pseudo_mean
1,5.75,1.82,0.343,-0.172,7.5,0.1116,0.00492,0.11580841,0.002452032,-1.0194837,0.12527962,-1.096801,0.14011858,-1.4123564,0.18616638,0.017328748,0.0013371711,-1.014830609613574,-0.9668742157081451,-1.3071435230213,0.01475737489362584
2,5.75,1.933,0.368,-0.232,7.5,0.0769,0.00504,0.07577279,0.0025201659,-1.35215,0.15277795,-1.4116617,0.17280439,-1.6768615,0.22453581,0.01238231,0.0012655294,-1.1285505256496176,-1.3103312543659926,-1.4759734056588665,0.014006601899375734
3,5.75,1.964,0.375,-0.278,7.5,0.0752,0.00672,0.06538661,0.003445398,-1.5518788,0.20823935,-1.5649831,0.21093982,-1.8323001,0.2929676,0.011565756,0.001415923,-1.2590616670977632,-1.765498050556901,-1.6315934688997937,0.012934604947937887
4,5.75,1.986,0.379,-0.323,7.5,0.0662,0.00924,0.060241167,0.004614609,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079,-0.9708490627661961,-1.2870450650810112,-1.6559289896711873,0.009717722261936736
5,5.75,1.999,0.381,-0.371,7.5,0.0706,0.01416,0.062450852,0.00619666,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545,-1.1030921060953485,-0.813513695357963,-0.6858588022208165,0.009102710562074885
6,5.75,2.218,0.345,-0.176,7.5,0.1043,0.00432,0.10828207,0.0021789442,-1.029082,0.15358989,-1.0690267,0.15309983,-1.4033082,0.2085692,0.00834102,0.0013162771,-0.825626748914805,-1.0096108864282036,-1.7107606434780949,0.009056468109094985
7,5.75,2.318,0.363,-0.232,7.5,0.0803,0.0042,0.08105956,0.0022042994,-1.4431016,0.1608382,-1.3062433,0.16009481,-1.7118852,0.21234454,0.0074596875,0.0011614542,-1.6113926730476738,-1.3002747854141419,-2.005683257552759,0.00694364665790012
8,5.75,2.348,0.368,-0.279,7.5,0.0666,0.00504,0.067042984,0.0030158935,-1.9370589,0.2245664,-1.8108852,0.22203138,-2.2946799,0.29253867,0.005542049,0.0013625436,-1.7990977447998702,-1.6713523421438579,-1.961095657114241,0.0040382807157343225
9,5.75,2.36,0.371,-0.325,7.5,0.0648,0.00696,0.062375493,0.0033633425,-1.9112773,0.23863803,-1.7783786,0.23746026,-2.093681,0.32636222,0.0052582254,0.001419727,-2.1221793487805884,-1.9114250641646278,-2.0748088137773495,0.0029169399303292667
10,5.75,2.375,0.373,-0.372,7.5,0.0606,0.01008,0.06053597,0.004844786,-1.6321254,0.34964976,-1.492733,0.3082261,-1.9067916,0.4745558,0.004252796,0.0012385233,-1.7303389282125716,-1.546398815943424,-1.3218742840627855,0.0028239262470715716
