phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0769,0.07577279,0.0025201659
22.5,0.0686,0.07211115,0.0022614598
37.5,0.0617,0.06598063,0.0018726
52.5,0.0669,0.058950827,0.0015214945
67.5,0.0555,0.05221595,0.0013177485
82.5,0.0461,0.046389416,0.0012626905
97.5,0.0401,0.041653972,0.001288454
112.5,0.0377,0.037970103,0.0013360184
127.5,0.034,0.03521876,0.0013785852
142.5,0.0339,0.033274516,0.0014090039
157.5,0.0346,0.03203559,0.0014275772
172.5,0.0307,0.031433202,0.0014362149
187.5,0.0315,0.031433202,0.0014362149
202.5,0.0357,0.03203559,0.0014275772
217.5,0.0333,0.033274516,0.001409004
232.5,0.0337,0.035218753,0.0013785852
247.5,0.0377,0.037970092,0.0013360186
262.5,0.0404,0.041653972,0.001288454
277.5,0.0429,0.0463894,0.0012626904
292.5,0.0528,0.05221595,0.0013177485
307.5,0.0593,0.058950827,0.0015214945
322.5,0.062,0.06598063,0.0018725999
337.5,0.0733,0.07211115,0.0022614596
352.5,0.0768,0.075772785,0.0025201663
