phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.1116,0.11580841,0.002452032
22.5,0.1176,0.11129397,0.0022694322
37.5,0.0998,0.103378996,0.0019737782
52.5,0.0941,0.09371157,0.0016680455
67.5,0.0882,0.08380532,0.0014413691
82.5,0.0787,0.07468687,0.0013311927
97.5,0.0672,0.066880725,0.0013158692
112.5,0.0608,0.060556464,0.001348874
127.5,0.0575,0.05568964,0.0013942423
142.5,0.0501,0.05217807,0.0014339681
157.5,0.0499,0.049910076,0.0014614929
172.5,0.0481,0.04879911,0.0014752827
187.5,0.0483,0.04879911,0.001475283
202.5,0.0532,0.049910076,0.0014614929
217.5,0.0527,0.05217807,0.0014339681
232.5,0.0552,0.05568964,0.0013942423
247.5,0.0585,0.060556464,0.001348874
262.5,0.0631,0.06688072,0.0013158694
277.5,0.0742,0.074686855,0.0013311928
292.5,0.0818,0.08380532,0.0014413691
307.5,0.0967,0.09371157,0.0016680455
322.5,0.1056,0.103378996,0.0019737782
337.5,0.1086,0.11129397,0.0022694317
352.5,0.1136,0.11580841,0.0024520317
