phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0662,0.060241167,0.004614609
22.5,0.0641,0.05566283,0.003836917
37.5,0.0439,0.048779875,0.0027899875
52.5,0.0425,0.04188451,0.0019821024
67.5,0.0353,0.03608243,0.0016093305
82.5,0.0294,0.031577207,0.0015460697
97.5,0.0274,0.028206704,0.0015869897
112.5,0.024,0.025737645,0.0016337873
127.5,0.0255,0.02396918,0.0016642725
142.5,0.0224,0.022753917,0.0016802312
157.5,0.0213,0.021992924,0.0016873069
172.5,0.0174,0.02162643,0.0016897888
187.5,0.0214,0.02162643,0.0016897888
202.5,0.0225,0.021992924,0.0016873069
217.5,0.0251,0.022753917,0.0016802312
232.5,0.026,0.02396918,0.0016642727
247.5,0.0305,0.025737638,0.0016337872
262.5,0.0282,0.0282067,0.0015869897
277.5,0.0326,0.0315772,0.0015460699
292.5,0.0364,0.03608243,0.0016093305
307.5,0.0474,0.04188451,0.0019821024
322.5,0.046,0.048779864,0.002789986
337.5,0.0526,0.055662837,0.0038369158
352.5,0.05,0.06024114,0.0046146065
