phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0752,0.06538661,0.003445398
22.5,0.0597,0.061566174,0.002984469
37.5,0.0579,0.055476505,0.0023275337
52.5,0.0504,0.0489188,0.0017780811
67.5,0.04,0.043009833,0.0014902891
82.5,0.0361,0.038153723,0.0014223314
97.5,0.0352,0.034358058,0.0014501471
112.5,0.033,0.031485986,0.001494705
127.5,0.0293,0.029380588,0.0015296668
142.5,0.028,0.02791044,0.0015516854
157.5,0.0263,0.026980253,0.0015636598
172.5,0.0268,0.026529677,0.0015687643
187.5,0.0266,0.026529677,0.0015687643
202.5,0.0247,0.026980253,0.0015636598
217.5,0.0284,0.02791044,0.0015516854
232.5,0.0284,0.029380588,0.0015296666
247.5,0.0373,0.03148598,0.0014947049
262.5,0.0378,0.034358058,0.0014501474
277.5,0.0402,0.038153715,0.0014223314
292.5,0.0426,0.043009833,0.0014902891
307.5,0.0468,0.0489188,0.0017780811
322.5,0.048,0.055476494,0.0023275323
337.5,0.0603,0.06156618,0.0029844688
352.5,0.0607,0.0653866,0.0034453983
