phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.1043,0.10828207,0.0021789442
22.5,0.1086,0.10389195,0.0020315847
37.5,0.1003,0.09618094,0.0017948307
52.5,0.0912,0.086736485,0.0015545929
67.5,0.0768,0.07702532,0.0013838314
82.5,0.073,0.06805322,0.0013100771
97.5,0.0565,0.06034462,0.0013126718
112.5,0.0557,0.054079425,0.0013529875
127.5,0.049,0.04924544,0.0014015576
142.5,0.047,0.045750763,0.0014432239
157.5,0.0411,0.043490727,0.0014721246
172.5,0.0416,0.042382814,0.0014866722
187.5,0.0385,0.042382814,0.0014866723
202.5,0.0411,0.043490727,0.0014721245
217.5,0.0453,0.045750763,0.001443224
232.5,0.0513,0.049245436,0.0014015576
247.5,0.0533,0.0540794,0.0013529876
262.5,0.0622,0.060344607,0.0013126718
277.5,0.07,0.06805318,0.0013100769
292.5,0.0801,0.07702532,0.0013838314
307.5,0.0874,0.086736485,0.0015545929
322.5,0.0974,0.09618094,0.0017948301
337.5,0.0992,0.103891894,0.0020315836
352.5,0.0986,0.10828207,0.0021789442
