phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0803,0.08105956,0.0022042994
22.5,0.0806,0.07659853,0.0019967442
37.5,0.0705,0.06918884,0.0016847389
52.5,0.0604,0.06078425,0.00139986
67.5,0.0513,0.0528265,0.0012250862
82.5,0.0463,0.046020065,0.0011637165
97.5,0.0426,0.040545665,0.0011696208
112.5,0.0353,0.036326174,0.0011990861
127.5,0.0348,0.033199757,0.0012294156
142.5,0.0284,0.031004753,0.0012527175
157.5,0.0309,0.029612731,0.0012676328
172.5,0.0257,0.028937956,0.0012747723
187.5,0.0277,0.028937956,0.0012747725
202.5,0.0297,0.029612731,0.0012676328
217.5,0.0314,0.031004753,0.0012527173
232.5,0.0344,0.03319976,0.0012294156
247.5,0.0358,0.03632618,0.0011990861
262.5,0.0424,0.040545665,0.0011696208
277.5,0.0439,0.046020042,0.0011637167
292.5,0.0546,0.0528265,0.0012250862
307.5,0.0633,0.06078425,0.00139986
322.5,0.0668,0.06918884,0.0016847389
337.5,0.0752,0.07659854,0.0019967442
352.5,0.0773,0.08105957,0.002204299
