phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0648,0.062375493,0.0033633425
22.5,0.0602,0.05689943,0.0028317801
37.5,0.0423,0.048848342,0.0021420089
52.5,0.0392,0.040985584,0.0016428609
67.5,0.0368,0.03451169,0.0014300664
82.5,0.0273,0.029564505,0.0013977974
97.5,0.0251,0.025903685,0.0014248223
112.5,0.0243,0.023241742,0.0014562473
127.5,0.0219,0.021344798,0.0014783478
142.5,0.0203,0.020045862,0.0014912351
157.5,0.019,0.01923444,0.0014978008
172.5,0.0204,0.018844213,0.0015004625
187.5,0.0181,0.018844213,0.0015004625
202.5,0.0228,0.01923444,0.0014978008
217.5,0.0191,0.020045856,0.001491235
232.5,0.0219,0.021344798,0.0014783478
247.5,0.0208,0.023241738,0.0014562474
262.5,0.0256,0.025903687,0.0014248225
277.5,0.0315,0.029564507,0.0013977975
292.5,0.0364,0.03451169,0.0014300664
307.5,0.04,0.040985584,0.0016428609
322.5,0.0526,0.04884833,0.002142008
337.5,0.0557,0.056899402,0.0028317787
352.5,0.0591,0.062375493,0.0033633418
