phi_x,Real F,Mean F Prediction,Std Dev Prediction
7.5,0.0706,0.062450852,0.00619666
22.5,0.0663,0.05593324,0.0049231765
37.5,0.0451,0.046879265,0.0033258458
52.5,0.039,0.03863825,0.002204702
67.5,0.041,0.032307617,0.0017574292
82.5,0.0267,0.02776069,0.0017088366
97.5,0.0292,0.024568837,0.0017596137
112.5,0.0259,0.022345928,0.0018031156
127.5,0.0214,0.020814693,0.0018254743
142.5,0.0161,0.019792361,0.0018336248
157.5,0.0135,0.01916473,0.0018351611
172.5,0.0175,0.018865937,0.0018348558
187.5,0.0205,0.018865937,0.0018348558
202.5,0.0217,0.01916473,0.0018351611
217.5,0.0265,0.019792361,0.0018336248
232.5,0.0201,0.020814694,0.0018254744
247.5,0.0257,0.022345925,0.0018031156
262.5,0.0217,0.024568828,0.0017596137
277.5,0.0262,0.02776068,0.0017088366
292.5,0.0297,0.032307617,0.0017574292
307.5,0.0338,0.03863825,0.002204702
322.5,0.0396,0.04687924,0.0033258433
337.5,0.0449,0.055933252,0.004923175
352.5,0.0595,0.062450867,0.006196659
